0;Indica qual è dei seguenti un file multimediale:;Documento.mp4 ;Musica_video.xls;Presentazione.txt;Video.doc;;;;
1;Indica quale tra le seguenti è l’unita di misura più piccola:;KB ( KiloByte) ;TB (Terabyte);GB (Gigabyte);MB (Megabyte);;;;
2;ISDN è l’acronimo di:;Integrated Services Digital Network ;Internet Services Data Network;Integrated Standard Digital Network;Intranet Security Data Network;;;;
3;I file eseguiti con WordPad vengono salvati per impostazione predefinita in formato .rtf;Vero ;Falso;;;;;;
4;Quando un file viene eliminato e poi si svuota il cestino, non è più possibile recuperarlo;Falso ;Vero;;;;;;
5;Indica dove è opportuno conservare le proprie password:;Su una agenda personale dove raccogliamo tutte le nostre password, tenuta in un luogo sicuro ;Nessuna delle precedenti;Su chiavette USB;Scrivendole su un post-it da attaccare sul monitor del proprio computer in ufficio;;;;
6;Indica quale tasto deve essere premuto per avviare la Guida in linea:;F1 ;F12;F3;F4;;;;
7;Il termine dial-up indica:;Una connessione a commutazione di circuito ;Un particolare tipo di modem;Un tipo di telefonata effettuata con un cellulare UMTS;Un software che simula un Dialer;;;;
8;Cosa si intende per trackball?;Una periferica di input ;Un software per il riconoscimento delle impronte digitali;Una periferica di output;Una periferica che ha le stesse funzioni di una stampante;;;;
9;Un Byte è composto da:;8 bit ;1024 bit;32 bit;10 bit;;;;
10;Indica quale tra i seguenti, non è un sistema operativo che utilizza un GUI:;MSDOS ;Windows 2000;MAC OSX El Captain;Windows 10;;;;
11;Cosa si intende con il termine e-Learning?;È una tipologia di formazione a distanza che avviene attraverso una rete o Internet ;È un metodo di trasferimento file attraverso il protocollo FTP;Un metodo per la gestione elettronica di libri e materiale didattico;Un software applicativo per lo studio;;;;
12;Quale tra le seguenti memorie ha i tempi di accesso più lenti?;Nastro Magnetico ;Hard Disk;CD-ROM;USB flash drive;;;;
13;Indica quali tasti bisogna premere per catturare solo la attiva:;Alt + Stamp ;Alt+ Tab;Ctrl + Tab;Ctrl + Stamp;;;;
14;Indica quale delle seguenti affermazioni è falsa:;Excel è un elaboratore di testi ;Il Blocco notte è un elaboratore di testi;PowerPoint viene utilizzato per creare presentazioni multimediali;Windows Media Player può essere utilizzato per ascoltare file con estensione MP3;;;;
15;Indica quali delle seguenti affermazioni sono corrette:;La porta USB consente una velocità di trasferimento dati di gran lunga superiore ad una porta seriale ;La porta USB non dà la possibilità di collegare o scollegare periferiche a computer accesso;La porta USB dà la possibilità di collegare o scollegare periferiche a computer accesso;La porta USB consente una velocità di trasferimento dati inferiore ad una porta seriale;;;;
16;Cosa bisognerebbe fare per proteggere il proprio computer dei virus?;Installare un software Antivirus e impostare gli aggiornamenti in maniera automatica ;Non aprire mai allegati e-mail;Utilizzare un buon firewall;Installare un software Antivirus ed effettuare gli aggiornamenti almeno una volta al mese;;;;
17;Indica su quale dei seguenti file, bisogna fare doppio clic per avviare l’installazione di un programma:;Install.exe ;Install.setup;Install.doc;Install.mdb;;;;
18;Per evitare di essere infettati da malware, è opportuno aggiornare l’Antivirus almeno una volta al mese:;Falso ;Vero;;;;;;
19;Quando si utilizzano i comandi “Copia e Incolla” i file vengono spostati in un’altra posizione;Falso ;Vero;;;;;;
20;Indica dove dal Pannello di Controllo possiamo cambiare lo sfondo del desktop;Aspetto e personalizzazione;Accessibilità;Orologio e opzioni internazionali;Programmi;;;;
21;Il linguaggio macchina:;È direttamente comprensibile dalla CPU ;Per essere eseguito dal processore deve essere tradotto in un linguaggio di programmazione;È composto da sequenze di cifre decimali;È un sinonimo del linguaggio naturale;;;;
22;Indica quali tra i seguenti dispositivi Hardware, permettono di effettuare una connessione ad Internet?;Il router ;Il mouse;La stampante;Uno schermo Touch Screen;;;;
23;Indica l’abbinamento errato:;Winrar | .exe ;Adobe Reader | .pdf;Word 2007 | .docx;WordPad | .rtf;;;;
24;Indica quale tra i seguenti sono file video:;Antivirus.mp4 ;Lettera.png -;Film.docx;Video.accdb;;;;
25;Winrar è:;Un programma che serve per comprimere e decomprimere file e cartelle ;Un programma per cancellare le applicazioni installate su Windows;Un software per creare database;Un motore di ricerca;;;;
26;Quale tra i seguenti file non può contenere un Virus?;Virus.txt ;Folgiodicalcolo.xls;Presentazione.pptx;Lettera.docx;;;;
27;Le icone di dispositivi svolgono la funzione di raccoglitori contenendo altre icone e file.;Falso ;Vero;;;;;;
28;Indica dove è installata la RAM di un PC:;Sulla scheda madre ;Nella stampante;Dentro il disco fisso;Vicino al masterizzatore DVD;;;;
29;Indica la perfetta combinazione per selezionare un gruppo di elementi non adiacenti:;Ctrl + Mouse ;Shift + Mouse;Alt + Mouse;Ctrl + Alt + Mouse;;;;
30;Cosa si intende per CPU?;Il processore di un computer  ;Una periferica generica del Computer;Un dispositivo che permette la connessione ad internet;La memoria del Computer;;;;
31;Indica quali tra le seguenti affermazioni sono vere:;I PC sono dotati di una scheda madre ;In un Personal Computer non possono essere installati processori multicore -;I PC non dispongono mai di schede video integrate;In un Personal Computer non possono essere installati più di 4GB di RAM;;;;
32;I “Macro virus” possono infettare:;Un file con estensione .docx ;Un file con estensione .txt;Un file con estensione .pdf;Un file con estensione .mp4;;;;
33;Il pulsante “Start” non è più presente in Windows 10;falso ;vero;;;;;;
34;Indica qual è delle seguenti affermazioni quella falsa:;Non è mai indicato effettuare il backup più di una volta al mese ;Il backup può essere effettuato sia su DVD-R sia su CD-R;Il backup può essere effettuato su un HD di rete;I file di backup vanno conservati in un luogo sicuro;;;;
35;Quale dei seguenti è un motore di ricerca:;www.google.com ;Internet Explorer;www.wikipedia.com;www.google.cc;;;;
36;Con quale dei seguenti software è possibile creare una fattura commerciale?;Con un foglio elettronico ;Con un programma di fotoritocco;Con un editor di testi;Con programma CBT;;;;
37;Grazie alla compressione, diminuisce notevolmente le sue dimensioni originali:;Vero ;Falso;;;;;;
38;Quando un sistema operativo in grado di eseguire più applicazioni contemporaneamente, come viene definito?;Multitasking ;Dual Boot;Open Source;Shareware;;;;
39;Che cos’è l’ergonomia?;Quella disciplina Che studi le condizioni di ambiente di lavoro, al fine di tutelare la sicurezza e la salute e di promuovere il benessere delle persone sul lavoro  ;L’insieme di norme non scritte che regolano lo scambio di posta elettronica;Una tastiera dotata di poggia polsi;Un software applicativo;;;;
40;Quale/i tra questi potrebbero essere i compiti di un programma compilatore:;tradurre un programma scritto in C++ nella corrispondente copia in linguaggio macchina   ;Tradurre un programma scritto in arabo nella corrispondente copia in linguaggio macchina.  -;tradurre di linguaggio di alto livello in un programma scritto in Visual Basic;tradurre un programma scritto in linguaggio macchina nella corrispondente copia in linguaggio di alto livello;;;;
41;Non è possibile creare account senza assegnare una password.;Falso  ;vero;;;;;;
42;Cos'è un worm?Un virus che si insedia nel cosiddetto settore di avvio dei floppy (traccia zero).Un virus in grado di auto replicarsi in memoria senza limiti;la LAN e Internet. Un software che consente l'invio e la ricezione automatica della posta elettronica.Un virus che può essere contenuto generalmente in un documento di Microsoft Word;può diffondersi a tutti i documenti che vengono aperti con quella particolare applicazione. ;Microsoft Excel o Microsoft PowerPoint e consiste in una macro;diffondendosi attraverso la posta elettronica;;;;
43;Un software di sistema è:;Indispensabile per il funzionamento del computer ;integrato nella ROM;Installato anche sui walkie talkie;Un applicativo che serve per visualizzare le pagine web;;;;
44;Indica cosa occorre fare per eliminare tutti i documenti dalla coda di stampa:;Da menu “Stampante” della finestra dello Spool di stampa, selezionare “Elimina tutti i documenti” e fare clic su “Sì”  ;Andare a prendere il pulsante annulla sulla stampante;Disabilitare la stampante di default dal pannello di controllo;Staccare l'alimentazione della stampante;;;;
45;Quale tra i seguenti non è una tecnologia di stampa:;LCD ;Bing jet;ad aghi;Laser;;;;
46;Cosa si intende con il termine “host”?;Un qualsiasi computer di tipo client server, collegato ad internet su cui gira un software di livello applicativo  ;Un tipo di collegamento ad Internet molto veloce;Un computer su cui gira una qualsiasi versione di Windows;Una periferica collegata in wireless;;;;
47;Indica quale tra le seguenti unità di misura è adatta a misurare crash di un monitor;Hz  ;Bit;Km/h;MB;;;;
48;Cosa è opportuno fare, quando un computer ogni volta che vengono aperte più applicazioni contemporaneamente diminuisce notevolmente le proprie prestazioni:;Aumentare la quantità di RAM  ;Comprare una scheda video più potente;Sostituire il processore con uno più veloce;Cambiare il case;;;;
49;Indica qual è delle seguenti risoluzioni quella idonea a uno schermo di un computer:;1920x1020  ;8000×6000;1280×60;80×60;;;;
50;Quando un utente crea, gestisce e pubblica un proprio diario personale su internet, abbiamo un esempio di:;Blog  ;Mailing list;Forum;Podcast;;;;
51;Indica a cosa serve nella ricerca di un file, il simbolo “*” (asterisco):;A sostituire più di un carattere ;A selezionare tutti i file mancanti;A velocizzare la ricerca;A sostituire un solo carattere;;;;
52;Indica cosa si intende per ALU:;Arithmetic logic unit ;Advance logic Universal;Advanced linear universal;Arithmetic linear unit;;;;
53;Indica quale delle seguenti è una periferica:;Scanner  ;RAM;CPU;Scheda video;;;;
54;A cosa può essere paragonata l’organizzazione gerarchica dei file?;A un albero capovolto ;A una piramide;A una LAN;A una topologia di rete a stella;;;;
55;Dopo aver acquistato un CD di musicale in un negozio, è possibile:;Fare una copia di backup da tenere in caso dovesse danneggiarsi l'originale ;Riprodurla liberamente e gratuitamente anche in luoghi pubblici;copiare i brani in esso contenuti e condividerli con programmi peer to peer in internet;Tenendo il relativo scontrino farne delle copie e distribuirle gratuitamente a parenti e amici;;;;
56;Come possono essere i servizi di e-commerce?;B2B ;R2C  -;D2B;C2B;;;;
57;Indica qual è l’esatta combinazione di tasti che segue il comando “taglia”:;Ctrl + X ;Ctrl + T;Ctrl + V;Ctrl + C;;;;
58;Indica qual è dei seguenti, il metodo esatto per visualizzare le informazioni di base relative del computer:;Tasto destro sull’icona “Computer” e cliccare su “Proprietà” ;Tasto destro sull’icona “Pannello di Controllo” e cliccare su “Proprietà”;Tasto sinistro sull’icona “Pannello di Controllo” e cliccare su “Proprietà”;Tasto sinistro sull’icona “Computer” e cliccare su “Proprietà”;;;;
59;Un Gigabyte corrisponde a:;1.024 MB ;1.024 KB;1.024 Mhz;1.000.000 di TB;;;;
60;Indica dove dal Pannello di controllo possiamo cambiare le impostazioni di Windows Update:;Sistema e Sicurezza ;Programmi;Rete e Internet;Accessibilità;;;;
61;Indica quali comandi eseguono le combinazioni di tasti:CTRL + Z e ALT + F4;Annulla e Chiudi ;Taglia e Chiudi;Copia e Incolla;Taglia e Incolla;;;;
62;Indica quale delle seguenti informazioni è vera in riferimento alla modifica dell’estensione di un file:;cambiando l'estensione in modo sbagliato, l'applicazione con cui è stato creato il file potrebbe non essere in grado di aprirlo più ;Il nome di un file e la sua estensione non devono mai essere cambiati;cambiando l'estensione di un file viene cambiato anche il nome;il nome di un file e l’estensione non possono essere mai cambiati;;;;
63;Indica cosa sta a significare il segno di spunta sopra l’icona di una stampante in “Stampanti e Fax”:;Che quella stampante è stata impostata come stampante predefinita  ;Che quella stampante è spenta;Che quella stampante è in fase di stampa;Che quella stampante non è online;;;;
64;Una scheda di rete in un PC ci permette di:;Collegarci ad una stampante di rete ;Utilizzare uno schermo TouchScreen;Collegarci il mouse;Collegare un Monitor;;;;
65;Un ISP è:;Il provider del servizio Internet ;Un ispettore della Polizia Postale;Il server di Posta in Uscita;Il server di Posta in Entrata;;;;
66;Si vuole visualizzare sul desktop l'icona “Computer”, indica cosa bisogna fare:;Nel menu di avvio, fare clic con il pulsante destro del mouse su “Computer”, poi cliccare con il tasto sinistro su “Visualizza sul desktop”  ;Dal menu di avvio aprire il pannello di controllo, tasto destro del mouse su “Computer”, poi “Visualizza sul desktop”;Tasto destro del mouse al centro del desktop, poi selezionare “Computer” trascinare l'icona sul desktop;Nel “Pannello di Controllo” cliccare sul pulsante “Visualizza Computer sul Desktop”;;;;I
67;Indica quali dispositivi tra quelli elencati permettono di cancellare o modificare informazioni, oltre a registrarle;CDRW ;BD-ROM;Floppy Disk;DVD-ROM;;;;
68;Indica qual è l’operazione preliminare da effettuare su di un Hard Disk prima di installare il sistema operativo:;la formattazione;la deframmentazione;una scansione con un software antivirus;la compressione disco;;;;
69;Le icone dei collegamenti fanno riferimento a file, cartelle o programmi archiviati su disco, senza esserne una copia;Vero ;Falso;;;;;;
70;Indica quale tasto bisogna premere per catturare l'intera schermata:;Stamp ;F1;CTRL;Tab;;;;
71;L’e-banking è:;Un servizio che consente a un cliente di connettersi alla propria banca per visualizzare il proprio conto corrente o effettuare altre operazioni ;È un servizio bancario per la vendita di titoli azionari su internet;Il servizio e-mail delle banche;Un servizio che consente alle banche di effettuare pubblicità su internet;;;;
72;Indica l’abbinamento errato:;Word 2003 | .docx  ;WordPad | .rtf;PowerPoint 2016 |.pptx;Blocco note | .txt;;;;
73;Indica se è possibile installare Microsoft Word 2010 su di un computer dove non è installato un sistema operativo:;No non è possibile  ;No perchè Microsoft Word non è compatibile con Microsoft Windows;Si è possibile;Si è possibile solo se dopo viene installato anche il sistema operativo;;;;
74;Indica quali tra le seguenti operazioni non è consigliabile fare:;scambiare spesso penne USB con conoscenti, aprendo i file in essi contenuti ;Non aprire allegati email con estensione “.exe” ricevuti da mittenti sconosciuti  -;fornire i propri dati personali e il numero della propria carta di credito, su siti sicuri di e-commerce;Aggiornare quotidianamente di software app antivirus;;;;
75;Per aiutare una persona cieca a ricevere informazioni da un computer, abbiamo bisogno:;Di uno screen reader ;Di un touch screen;Di una tastiera virtuale sullo schermo;Di una periferica di input che consente il riconoscimento vocale;;;;
76;Indica qual è l’acronimo di RAM:;Random Access Memory   ;Read Advanced Memory;Read Access Memory;Rotary Access Memory;;;;
77;Quando si utilizza il comando “Cerca” per trovare un file di cui non si ricorda il nome o parte di esso, quali simboli possono essere utilizzati?;* ;S;$;#;;;;
78;I file eseguiti con Blocco note vengono salvati per impostazione predefinita in formato .rtf;Falso  ;Vero;;;;;;
79;Microsoft Excel 2016 è:;Un software un applicativo ;Un programma per formattazione testi;Un programma che serve per comprimere e decomprimere file e cartelle;Un software di sistema;;;;
80;Indica quali sono tra i seguenti file, quelli compressi:;lettera.rar e gloria.zip;cane.bau -;archivio.docx;simulazioneecdl.pptx;;;;
81;Indica con quale programma è consigliato aprire un file con estensione “.pdf”:;Adobe Reader ;Microsoft Word;Microsoft Access;Mozilla Firefox;;;;
82;L’account o profilo utente è l’insieme di:;Nome utente e password ;E-mail e password;E-mail e nome utente;E-mail e indirizzo web;;;;
83;La scheda grafica:;Può essere dotata di GPU e memoria RAM ;Non può avere una GPU;Può avere un Hard Disk;Può avere contemporaneamente sia una HDMI, sia una DVI;;;;
84;Indicare su quale dei seguenti file, bisogna fare doppio clic per avviare l’installazione di un programma:;Setup.exe ;Setup.pptx;Setup.mov;Setup.docx;;;;
85;Indica come può avvenire la trasmissione di un virus:;Scambiando con amici o conoscenti chiavette USB, CD o DVD ;Eseguendo una deframmentazione dell’Hard Disk;Formattando una chiavetta USB;Scaricando legamente programmi a pagamento;;;;
86;In che modo possiamo suddividere i computer di una rete?;In client e server ;In notebook e desktop;In client e host;In client e desktop;;;;
87;Indica quale delle seguenti affermazioni non è vera:;Una porta USB 2.0 è più lenta di una porta FireWire 400 ;Una porta USB 1.1 è più lenta di una porta FireWire 400;Una porta Thunderbolt è più veloce di una porta USB 3.0;Una porta USB 3.0 è più veloce di una porta USB 2.0;;;;
88;Indica qual è la combinazione esatta di tasti, per spostarsi da una finestra all’altra:;Alt + Tab  ;Ctrl + F4;Alt + Ctrl;Ctrl + F1;;;;
89;Quando si utilizzano i comandi “Taglia e Incolla” i file vengono spostati in un’altra posizione;Vero ;Falso;;;;;;
90;Indica qual è la quantità di memoria più grande tra le seguenti:;0.5 TB ;1.500 MB;3.000.000 KB;450 GB;;;;
91;La tecnologia VoIP viene utilizzata per:;Effettuare telefonate attraverso la rete internet senza utilizzare la classica rete PSTN ;Ricevere informazioni su un canale informativo preferenziale;Ascoltare un podcast;Per conversare in tempo reale in una chat room;;;;
92;Cosa sta a indicare l’acronimo GUI?;Graphical User Interface ;Graphic User Input;Graphic User Interface;Graphic Utent Interface;;;;
93;Indica quali fra questi non sono sistemi operativi:;Mozilla Firefox ;Closed Office 4.2.1 -;Windows 8.1;Linux Ubuntu;;;;
94;Indica cosa viene collegato di solito ad una porta USB 3.1:;Penne USB ;Monitor vga;Stampanti con porta parallela;Switch di rete;;;;
95;Indica quali tra i seguenti atteggiamenti sono sbagliati:;La digitazione e l’uso del mouse deve avvenire irrigidendo le dita e i polsi ;Gli occhi devono trovarsi ad una distanza di 100/150 m dallo schermo -;I piedi devono essere ben appoggiati al pavimento;Si devono evitare le posizioni di lavoro fisse per tempi prolungati;;;;
96;Indica su quale protocollo si basano le reti internet, intranet ed extranet:;TCP/IP  ;FTP;UDP;SMTP;;;;
97;Winrar a differenza di Winzip non decomprime i file;Falso ;Vero;;;;;;
98;Selezionare i due passaggi necessari per decomprimere una cartella compressa:;Dal menu File scegliere “Estrai tutto” ;Dal menu Strumenti scegliere Decomprimere;Fare clic con il tasto destro del mouse;Selezionare la cartella e cancella il suo contenuto;;;;
99;Cosa stanno ad indicare le seguenti misure: 1920x1080 1024x768 1280x1024;Alcune risoluzioni dei monitor ;Le dimensioni di varie stampanti;Alcune tecnologie di stampa;Il refresh dei monitor;;;;
100;Indica qual è delle seguenti affermazioni quella corretta:;Un archivio online rende accessibili i file in esso contenuti anche da uno smartphone ;Un archivio online è sempre utilizzato per file di piccole dimensioni;I file di un archivio online non possono essere inviati per posta elettronica;Un archivio online serve ad evitare la contaminazione da virus;;;;
101;Un hacker e/o cracker è:;Un pirata informatico in grado di creare virus o di accedere via internet a dati riservati (eliminandoli o modificandoli) di utenti privati o aziende  ;Un ispettore della polizia postate che segue controlli in internet;Un virus informatico;Un software che permette ad un utente, di utilizzare sul proprio computer software non regolarmente licenziato;;;;
102;È sempre consigliato aprire allegati di messaggi con estensione .exe, proveniente da mittenti sconosciuti;Falso ;Vero;;;;;;
103;Seleziona il percorso esatto per aprire il Blocco note:;Start => Tutti i programmi => Accessori => Blocco Note ;Start => Pannello di controllo => Programmi => Blocco Note;Start => Programmi => Blocco Note;Start => Pannello di controllo => Tutti i programmi => Blocco Note;;;;
104;Indica quale tra le seguenti, è l’esatta definizione di un software shareware:;Un programma concesso in prova gratuitamente per un periodo di tempo limitato, al termine del quale, diventerà del tutto o parzialmente inutilizzabile ;Un particolare software applicativo reso gratuito via Internet;Un programma che può essere utilizzato e copiato gratuitamente e senza limiti di tempo;Un programma il cui codice sorgente è reso disponibile e può essere modificato, un esempio è Open Office;;;;
105;Il monitor touchscreen è:;Una periferica di input/output ;Una periferia di output;Una memoria di massa;Una periferica di input;;;;
106;Per contribuire al rispetto dell’ambiente, qual è tra le seguenti una buona norma da seguire:;Inviare email invece della posta tradizionale ;Stampare i manuali in formato A4;Evitare di rigenerare toner e cartucce di stampa;Non utilizzare archivi elettronici;;;;
107;Indicare quale tra le seguenti risposte identifica la risoluzione di un monitor:;1024x768 ;8 bit;800 MB;60 Hz;;;;
108;Indica quale dei seguenti virus può essere contenuto in un file Excel 2016;Macrovirus ;Worms;Trojan;Multipartiti;;;;
109;È possibile creare gli account utente solo in fase di installazione del sistema operativo;Falso ;Vero;;;;;;
110;Indica quale tra le seguenti, rappresenta la connessione per telefonia mobile più veloce:;LTE ;UMTS;WAP;GPRS;;;;
111;Quali tra i seguenti sintomi, possono essere inconvenienti derivanti da un posto di lavoro non ergonomico;Affaticamento degli occhi ;Stanchezza;Emicrania;Perdita di capelli;;;;
112;Indica quale operazione è opportuno fare, nel caso in cui durante la navigazione si avvia un download in automatico (non richiesto):;Interrompere immediatamente il download  ;Contattare Microsoft;Disabilitare il software antivirus;Aspettare che il processo di download finisca;;;;
113;Con il temine CBT (Computer Based Training) si vuole indicare:;L’insegnamento al computer attraverso dei software di autoistruzioni contenuti in CD o DVD ;Una tipologia di formazione al computer che necessita di un trainer;Una tipologia di formazione al computer in videoconferenza;L’insegnamento sull’utilizzo del computer da parte di un Trainer;;;;
114;Una CPU è costituita da:;L’unità di elaborazione (ALU) e l’unità di governo (CU) ;Una GPU e da una quantità prestabilita di RAM;Una scheda madre e un n disco rigido;Dalla cache e dal clock;;;;
115;Indica qual è il simbolo che identifica le icone di collegamento sul desktop:;Una freccetta in basso a sinistra dell’icona ;Una freccetta in basso a destra dell’icona;Una Y di colore rosso al centro dell’icona;Una X in basso a destra dell’icona;;;;
116;Indica quale delle seguenti azioni, rappresenta il modo più economico per avere un computer più performante:;Aumentare la RAM ;Sostituire la scheda madre;Acquistare un nuovo computer;Acquistare un Hard Disk più capiente;;;;
117;Non è mai possibile salvare come immagine ciò che viene mostrato sullo schermo:;Falso ;Vero;;;;;;
118;L’estensione “.tmp” sta ad indicare:;File temporanei;File di Access;Documento di Adobe Acrobat;File di testo Word;;;;
119;Quale delle seguenti non è una periferica?;Un SSD ;Il mouse;La stampante;Le casse audio;;;;
120;I tablet non sono forniti di scheda grafica:;Falso ;Vero;;;;;;
121;Indica quale tra i seguenti tipi di software può essere liberatamene copiato, modificato e venduto:;Pubblico dominio ;Shareware;Demo;Freeware;;;;
122;Indica quale tra i seguenti componenti o periferiche incide sulle prestazioni del computer:;RAM ;Mouse;Stampante multifunzione;ROM;;;;
123;L’acronimo di CBT è?;Computer Based Training ;Computer Boot Trainer;Controller Byte Test;Controller Based Trainer;;;;
124;La velocità dell’ADSL è misurata in:;Bit al secondo  ;Hz al secondo;Byte al secondo;GB al secondo;;;;
125;Un modem è una periferica di Input:;Falso ;Vero;;;;;;
126;L’Home Banking è l’accesso ai servizi bancari dalla propria abitazione, mediante internet:;Vero ;Falso;;;;;;
127;Quanti megabyte sono contenuti in un HD grande 3 TB?;Circa 3.000.000 ;Circa 30;Circa 1024;Circa 3000;;;;
128;Indica quale tipo di periferica è un monitor touchscreen:;Input/output ;Non è una periferica ma un componente;Output;Input;;;;
129;La GUI indica:;l’interfaccia grafica utente ;il software applicativo per navigare in internet;il sistema operativo del computer;un software per bloccare i virus;;;;
130;Il Copyright:;il marchio di protezione dei diritti d’autore, e si applica anche al software ;Il contratto che regola l’utilizzo del software;Il sistema di crittografa di un browser;La protezione hardware di un pc;;;;
131;Il sistema operativo è?;Un software di sistema che gestisce le risorse HW e SW del computer ;Un programma applicativo gratuito;Una parte hardware del pc;Un software applicativo;;;;
132;Con un lettore MP3 è sempre possibile riprodurre file MP4;Falso ;Vero;;;;;;
133;Indica quanto pesa uno spazio tra due parole:;8 bit ;3 bit;0 Byte;100 Byte;;;;
134;Un mainframe è un software molto potente:;Falso ;Vero;;;;;;
135;Una porta USB 3.0 ha una velocità di trasferimento dati di 480 Mb al secondo:;Falso ;Vero;;;;;;
136;Indica quale delle seguenti memorie è la più veloce:;SSD ;Penna USB 1.1;HD a 7200 rpm;Nastro magnetico;;;;
137;I social Network sono:;Un servizio internet ;Un servizio telefonico;Un servizio SMS e MMS;Un servizio delle Poste Italiane;;;;
138;Indica i vantaggi della tecnologia VoIP:;Telefonare senza dover utilizzare la linea telefonica tradizionale  ;Navigare in internet senza costi;Telefonare ad altissimo costo;Inviare SMS senza costi;;;;
139;Il bancomat può essere utilizzato per:;prelevare contanti da uno sportello bancario ;fare acquisti rateali;prelevare soldi alla cassa di un supermercato;per pagare con assegni bancari;;;;
140;Che cosa indica la sigla BIOS?;Basic Input Output System  ;Basic Intranet Out System;Basic in Out System;Basic Input Output Software;;;;
141;Quanti Byte occorrono per scrivere la parola “gatto”?;5 Byte ;5 bit;50 bit;5 MB;;;;
142;Quanti bit occorrono per scrivere la parola “cane”?;32 bit ;64 bit;4 bit;40 bit;;;;
143;Una CPU è formata da:;ALU e CU ;BIOS e Firmware;GUI e VGA;CU e CPU;;;;
144;La RAM è più veloce di un Hard Disk:;Vero ;Falso;;;;;;
145;Quale unità di misura è utilizzata per definire le dimensioni di uno schermo;Pollici ;Piedi;Byte;Pixel;;;;
146;7 Byte corrispondono a:;56 bit ;72 bit;64 bit;32 bit;;;;
147;Indica quale tra le seguenti è una funzionalità del SO?;La gestione della GUI ;La creazione dei Siti Web;L’elaborazione di testi;La creazione di un database;;;;
148;L’acronimo di ROM è:;Read Only Memory ;Read Only Mater;Random Only Memory;Raster Only Master;;;;
149;Di quali parti è formato un PC?;Hardware ;Softwhere-;Freeware;Shareware;;;;
150;Chi è il programmatore?;Un esperto che scrive le istruzioni dei software che poi il computer dovrà eseguire ;Un tecnico che installa programmi sul PC;Un tecnico che risponde al telefono;Un tecnico che analizza e ripara il PC;;;;
151;La scheda di rete:;Può essere integrata nella scheda madre ;È collegata alla linea telefonica;È collegata alla porta seriale;È collegata alla linea telefonica;;;;
152;Un computer può inviare e ricevere Fax?;Si, ma è necessario disporre di una linea telefonica, un modem e un software adatto ;Si, ma è necessario disporre di un telefono;Si, ma è necessario disporre di una stampante;No, perché la linea telefonica è di tipo analogico;;;;
153;La rete telefonica è?;Una rete a commutazione di circuito ;Una rete a commutazione di pacchetti;Un software Open Source;Una rete che non usa protocolli;;;;